Name,n_poem,url,poem_url,first_poem_url
Derek Walcott,28,https://www.poemhunter.com/derek-walcott/poems/,https://www.poemhunter.com/poem/love-after-love/,https://www.poemhunter.com/poem/a-city-s-death-by-fire/
William Blake,139,https://www.poemhunter.com/william-blake/poems/,https://www.poemhunter.com/poem/a-poison-tree/,https://www.poemhunter.com/poem/a-cradle-song/
Roald Dahl,27,https://www.poemhunter.com/roald-dahl/poems/,https://www.poemhunter.com/poem/television/,https://www.poemhunter.com/poem/augustus-gloop-augustus-gloop/
Edgar Allan Poe,69,https://www.poemhunter.com/edgar-allan-poe/poems/,https://www.poemhunter.com/poem/annabel-lee/,https://www.poemhunter.com/poem/a-dream-2/
Sarojini Naidu,51,https://www.poemhunter.com/sarojini-naidu/poems/,https://www.poemhunter.com/poem/palanquin-bearers/,https://www.poemhunter.com/poem/a-love-song-from-the-north/
Phillis Wheatley,41,https://www.poemhunter.com/phillis-wheatley/poems/,https://www.poemhunter.com/poem/on-being-brought-from-africa-to-america/,https://www.poemhunter.com/poem/a-farewell-to-america-to-mrs-s-w-2/
Matsuo Basho,114,https://www.poemhunter.com/matsuo-basho/poems/,https://www.poemhunter.com/poem/the-old-pond/,https://www.poemhunter.com/poem/a-ball-of-snow/
Ogden Nash,126,https://www.poemhunter.com/ogden-nash/poems/,https://www.poemhunter.com/poem/adventures-of-isabel/,https://www.poemhunter.com/poem/agrave-bas-ben-adhem/
Walt Whitman,392,https://www.poemhunter.com/walt-whitman/poems/,https://www.poemhunter.com/poem/o-captain-my-captain/,https://www.poemhunter.com/poem/1861/
Roger McGough,17,https://www.poemhunter.com/roger-mcgough/poems/,https://www.poemhunter.com/poem/let-me-die-a-youngman-s-death/,https://www.poemhunter.com/poem/beguiling/
Jack Prelutsky,16,https://www.poemhunter.com/jack-prelutsky/poems/,https://www.poemhunter.com/poem/last-night-i-dreamed-of-chickens/,https://www.poemhunter.com/poem/a-pizza-the-size-of-the-sun/
John Keats,218,https://www.poemhunter.com/john-keats/poems/,https://www.poemhunter.com/poem/a-thing-of-beauty-endymion/,https://www.poemhunter.com/poem/a-draught-of-sunshine/
Robert Burns,512,https://www.poemhunter.com/robert-burns/poems/,https://www.poemhunter.com/poem/a-red-red-rose/,https://www.poemhunter.com/poem/148-to-miss-logan-with-beattie-s-poems/
