,artist,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,21 Savage,Her Loss,1,1bDbXMyjaUIooNwFE9wn0N,Rich Flex,spotify:track:1bDbXMyjaUIooNwFE9wn0N,0.0503,0.561,0.52,1.86e-06,0.355,-9.342,0.244,153.15,0.424,89
1,21 Savage,Her Loss,2,46s57QULU02Voy0Kup6UEb,Major Distribution,spotify:track:46s57QULU02Voy0Kup6UEb,0.0127,0.908,0.546,0.0,0.0707,-10.491,0.323,131.016,0.225,77
2,21 Savage,Her Loss,3,34tz0eDhGuFErIuW3q4mPX,On BS,spotify:track:34tz0eDhGuFErIuW3q4mPX,0.0201,0.841,0.358,0.0,0.39,-8.368,0.591,158.014,0.329,79
3,21 Savage,Her Loss,4,0wshkEEcJUQU33RSRBb5dv,BackOutsideBoyz,spotify:track:0wshkEEcJUQU33RSRBb5dv,0.0407,0.849,0.433,0.0,0.388,-8.434,0.316,142.11,0.395,73
4,21 Savage,Her Loss,5,7l2nxyx7IkBX5orhkALg0V,Privileged Rappers,spotify:track:7l2nxyx7IkBX5orhkALg0V,0.00274,0.934,0.614,0.0,0.123,-7.384,0.198,144.045,0.616,75
5,21 Savage,Her Loss,6,2ZL7WZcjuYKi1KUDtp4kCC,Spin Bout U,spotify:track:2ZL7WZcjuYKi1KUDtp4kCC,0.01,0.773,0.701,0.0,0.163,-6.386,0.0512,129.963,0.203,79
6,21 Savage,Her Loss,7,0sSRLXxknVTQDStgU1NqpY,Hours In Silence,spotify:track:0sSRLXxknVTQDStgU1NqpY,0.234,0.501,0.403,0.0,0.267,-11.106,0.119,118.352,0.111,73
7,21 Savage,Her Loss,8,4Flfb4fGscN9kXPOduQLrv,Treacherous Twins,spotify:track:4Flfb4fGscN9kXPOduQLrv,0.0782,0.746,0.517,0.0,0.137,-7.582,0.327,88.987,0.609,70
8,21 Savage,Her Loss,9,7GeTsDIc5ykNB6lORO6Cee,Circo Loco,spotify:track:7GeTsDIc5ykNB6lORO6Cee,0.0102,0.734,0.605,0.0,0.317,-8.476,0.0699,103.976,0.252,77
9,21 Savage,Her Loss,10,2KLwPaRDOB87XOYAT2fgxh,Pussy & Millions (feat. Travis Scott),spotify:track:2KLwPaRDOB87XOYAT2fgxh,0.0623,0.749,0.63,0.0,0.353,-6.652,0.116,122.03,0.445,80
10,21 Savage,Her Loss,11,45pUWUeEWGoSdH6UF162G8,Broke Boys,spotify:track:45pUWUeEWGoSdH6UF162G8,0.0104,0.642,0.533,0.000108,0.251,-7.45,0.266,120.041,0.112,75
11,21 Savage,Her Loss,12,410TZrK18uRjtsTunG14cl,Middle of the Ocean,spotify:track:410TZrK18uRjtsTunG14cl,0.18,0.466,0.703,0.0,0.422,-5.774,0.393,76.815,0.25,69
12,21 Savage,Her Loss,13,2ZlABhxMMa43COmZ97kKsJ,Jumbotron Shit Poppin,spotify:track:2ZlABhxMMa43COmZ97kKsJ,0.221,0.799,0.575,0.0,0.196,-6.257,0.282,99.026,0.319,74
13,21 Savage,Her Loss,14,29YW2xXlo6Pc6M0SBTCXYN,More M’s,spotify:track:29YW2xXlo6Pc6M0SBTCXYN,0.0405,0.704,0.504,0.000422,0.139,-6.749,0.223,82.537,0.0713,72
14,21 Savage,Her Loss,15,1MTXYvJ9TSqg9x6WPCDx2n,3AM on Glenwood,spotify:track:1MTXYvJ9TSqg9x6WPCDx2n,0.0533,0.475,0.692,6.49e-06,0.18,-8.327,0.398,181.167,0.241,65
15,21 Savage,Her Loss,16,31bsuKDOzFGzBAoXxtnAJm,I Guess It’s Fuck Me,spotify:track:31bsuKDOzFGzBAoXxtnAJm,0.499,0.385,0.34,1.2e-05,0.196,-11.754,0.051,83.947,0.0398,67
32,21 Savage,"Honestly, Nevermind",1,1kNdtonJXHorsVpWerK8C2,Intro,spotify:track:1kNdtonJXHorsVpWerK8C2,0.955,0.193,0.0218,0.88,0.117,-31.16,0.0389,125.501,0.213,54
33,21 Savage,"Honestly, Nevermind",2,1vbn9fEyw1IYhqgZJdu9ZB,Falling Back,spotify:track:1vbn9fEyw1IYhqgZJdu9ZB,0.238,0.718,0.758,0.00653,0.11,-8.29,0.0703,118.989,0.349,62
34,21 Savage,"Honestly, Nevermind",3,4FIgHqXd4KkOwxrGeLDYM2,Texts Go Green,spotify:track:4FIgHqXd4KkOwxrGeLDYM2,0.000916,0.765,0.627,0.195,0.0847,-4.607,0.0622,118.997,0.536,62
35,21 Savage,"Honestly, Nevermind",4,1eCFz60zd7mAXgWLapPd9B,Currents,spotify:track:1eCFz60zd7mAXgWLapPd9B,0.104,0.883,0.283,0.00167,0.0935,-12.653,0.113,122.013,0.416,62
36,21 Savage,"Honestly, Nevermind",5,0nAZGkBGKQCXyaoSJfRhC1,A Keeper,spotify:track:0nAZGkBGKQCXyaoSJfRhC1,0.512,0.6,0.482,0.000104,0.115,-11.596,0.0701,121.909,0.323,66
37,21 Savage,"Honestly, Nevermind",6,7sT7kZEYd1MrmzLLIRVZas,Calling My Name,spotify:track:7sT7kZEYd1MrmzLLIRVZas,0.62,0.826,0.276,8.53e-05,0.118,-11.227,0.266,123.985,0.484,62
38,21 Savage,"Honestly, Nevermind",7,4rmVZajAF7PkrCagGPHbqa,Sticky,spotify:track:4rmVZajAF7PkrCagGPHbqa,0.0917,0.853,0.495,0.000217,0.0844,-14.63,0.14,137.027,0.0774,75
39,21 Savage,"Honestly, Nevermind",8,28JBD8p18xNuOfyV7Cotdn,Massive,spotify:track:28JBD8p18xNuOfyV7Cotdn,0.114,0.499,0.671,0.0169,0.148,-6.774,0.0561,124.994,0.0557,70
40,21 Savage,"Honestly, Nevermind",9,6Yj7Zhxt73uvwFFvzQXdxO,Flight's Booked,spotify:track:6Yj7Zhxt73uvwFFvzQXdxO,0.886,0.593,0.41,0.0993,0.115,-13.097,0.0531,122.584,0.201,62
41,21 Savage,"Honestly, Nevermind",10,7hRlTK3mgFTBEjX7DjqBsI,Overdrive,spotify:track:7hRlTK3mgFTBEjX7DjqBsI,0.444,0.502,0.645,0.00964,0.107,-10.611,0.122,109.739,0.518,58
42,21 Savage,"Honestly, Nevermind",11,3N3d4OWbPVxTQVBFqNyykk,Down Hill,spotify:track:3N3d4OWbPVxTQVBFqNyykk,0.965,0.718,0.319,0.00036,0.0895,-11.261,0.0435,109.994,0.639,55
43,21 Savage,"Honestly, Nevermind",12,1XsRwo2it6QHdV2OiT6IzF,Tie That Binds,spotify:track:1XsRwo2it6QHdV2OiT6IzF,0.0176,0.775,0.688,0.0917,0.108,-10.912,0.0593,120.017,0.284,57
44,21 Savage,"Honestly, Nevermind",13,2vy9Ry1TNjCD85TiCbTz0r,Liability,spotify:track:2vy9Ry1TNjCD85TiCbTz0r,0.268,0.557,0.706,0.0,0.132,-6.592,0.0649,105.013,0.582,59
45,21 Savage,"Honestly, Nevermind",14,3F5CgOj3wFlRv51JsHbxhe,Jimmy Cooks (feat. 21 Savage),spotify:track:3F5CgOj3wFlRv51JsHbxhe,0.000307,0.529,0.673,2.41e-06,0.093,-4.711,0.175,165.921,0.366,85
