,artist,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,Dua Lipa,Come Home The Kids Miss You,1,6DKTGEAjKuUIdY57v7zMpC,Talk Of The Town,spotify:track:6DKTGEAjKuUIdY57v7zMpC,0.395,0.577,0.448,0.0,0.61,-9.215,0.189,137.694,0.543,51
1,Dua Lipa,Come Home The Kids Miss You,2,4CuZSJLlmUrEfcXUm6pQk9,Young Harleezy,spotify:track:4CuZSJLlmUrEfcXUm6pQk9,0.00882,0.841,0.566,0.0,0.0635,-5.501,0.289,95.941,0.269,55
2,Dua Lipa,Come Home The Kids Miss You,3,7Bot6AB2dsvZEyqzUL8AUH,I'd Do Anything To Make You Smile,spotify:track:7Bot6AB2dsvZEyqzUL8AUH,0.012,0.832,0.522,0.079,0.377,-7.244,0.05,150.044,0.253,57
3,Dua Lipa,Come Home The Kids Miss You,4,0wHFktze2PHC5jDt3B17DC,First Class,spotify:track:0wHFktze2PHC5jDt3B17DC,0.111,0.902,0.582,3.18e-06,0.111,-5.902,0.109,107.005,0.332,80
4,Dua Lipa,Come Home The Kids Miss You,5,0LnS7aOdOdI1dNKZqdOLz4,Dua Lipa,spotify:track:0LnS7aOdOdI1dNKZqdOLz4,0.00161,0.833,0.652,0.0985,0.106,-6.942,0.0762,158.022,0.405,72
5,Dua Lipa,Come Home The Kids Miss You,6,0203aGEIzVVlmvQ8lX4fmV,Side Piece,spotify:track:0203aGEIzVVlmvQ8lX4fmV,0.494,0.667,0.526,0.000267,0.116,-8.561,0.281,101.954,0.503,55
6,Dua Lipa,Come Home The Kids Miss You,7,3u8bblcJtOxxmGzJrviWLp,Movie Star (feat. Pharrell Williams),spotify:track:3u8bblcJtOxxmGzJrviWLp,0.00461,0.829,0.488,0.0,0.107,-7.275,0.183,93.199,0.551,56
7,Dua Lipa,Come Home The Kids Miss You,8,29SR6SFfjQJoddfmimHbQh,Lil Secret,spotify:track:29SR6SFfjQJoddfmimHbQh,0.144,0.779,0.653,0.0,0.0955,-5.977,0.206,69.056,0.841,52
8,Dua Lipa,Come Home The Kids Miss You,9,5hNsSrWcClSp0tg4Jdd4UY,I Got A Shot,spotify:track:5hNsSrWcClSp0tg4Jdd4UY,0.0784,0.973,0.433,0.0,0.0753,-6.605,0.0892,120.055,0.933,57
9,Dua Lipa,Come Home The Kids Miss You,10,3EMp20j5E42MxfFbsEsIvD,Churchill Downs (feat. Drake),spotify:track:3EMp20j5E42MxfFbsEsIvD,0.615,0.71,0.522,0.0,0.11,-9.102,0.36,96.448,0.37,70
10,Dua Lipa,Come Home The Kids Miss You,11,22xea6Z2a8BbyVeCksSBX9,Like A Blade Of Grass,spotify:track:22xea6Z2a8BbyVeCksSBX9,0.037,0.891,0.489,2.12e-05,0.0899,-8.14,0.135,93.515,0.794,63
11,Dua Lipa,Come Home The Kids Miss You,12,5mSVnabiC2NDVIGfW3Znc4,Parent Trap (feat. Justin Timberlake),spotify:track:5mSVnabiC2NDVIGfW3Znc4,0.283,0.878,0.523,0.000155,0.116,-7.653,0.12,92.05,0.422,52
12,Dua Lipa,Come Home The Kids Miss You,13,1hs54MGy1J69I52GvzsrbB,Poison (feat. Lil Wayne),spotify:track:1hs54MGy1J69I52GvzsrbB,0.179,0.549,0.485,0.0,0.368,-8.477,0.322,112.029,0.626,54
13,Dua Lipa,Come Home The Kids Miss You,14,3ioJs8DQw527GmqJIp5gZG,Nail Tech,spotify:track:3ioJs8DQw527GmqJIp5gZG,0.00508,0.677,0.557,8.36e-06,0.0984,-8.409,0.0694,150.127,0.1,63
14,Dua Lipa,Come Home The Kids Miss You,15,0PyJRNmJvJJ5OmffwQf5we,State Fair,spotify:track:0PyJRNmJvJJ5OmffwQf5we,0.16,0.846,0.603,0.0,0.198,-6.41,0.187,95.032,0.598,51
30,Dua Lipa,Thats What They All Say,1,6SdQfCiVae1EXK1pQ6b92o,Rendezvous,spotify:track:6SdQfCiVae1EXK1pQ6b92o,0.0754,0.726,0.556,1.42e-05,0.392,-8.481,0.206,89.034,0.664,54
31,Dua Lipa,Thats What They All Say,2,6MDdceLYec4AxohmorE4vH,Face Of My City (feat. Lil Baby),spotify:track:6MDdceLYec4AxohmorE4vH,0.0034,0.74,0.566,0.0,0.589,-8.389,0.32,156.197,0.342,59
32,Dua Lipa,Thats What They All Say,3,54FJWt8YIA1IHjmUxuDxwi,21C/Delta,spotify:track:54FJWt8YIA1IHjmUxuDxwi,0.0132,0.729,0.588,0.000688,0.147,-7.494,0.248,97.45,0.198,53
33,Dua Lipa,Thats What They All Say,4,4qksq0n5lAvp6dl9M3iXWU,Funny Seeing You Here,spotify:track:4qksq0n5lAvp6dl9M3iXWU,0.468,0.667,0.72,0.0,0.111,-9.079,0.621,80.422,0.458,48
34,Dua Lipa,Thats What They All Say,5,57VeLYXrvNxe8Vs18K2M9W,Way Out (feat. Big Sean),spotify:track:57VeLYXrvNxe8Vs18K2M9W,0.114,0.945,0.582,0.0,0.103,-8.357,0.0719,108.025,0.907,63
35,Dua Lipa,Thats What They All Say,6,4RKJRRd4VJfZWiqQTYsleE,Already Best Friends (feat. Chris Brown),spotify:track:4RKJRRd4VJfZWiqQTYsleE,0.0891,0.873,0.575,0.0,0.108,-7.284,0.0702,103.005,0.872,68
36,Dua Lipa,Thats What They All Say,7,2BUP8KOWDlCsdEV8DJPQQn,Keep It Light,spotify:track:2BUP8KOWDlCsdEV8DJPQQn,0.538,0.663,0.645,6.84e-05,0.214,-7.37,0.248,71.968,0.587,53
37,Dua Lipa,Thats What They All Say,8,3DR7shAbkNyqgZjYnHZLh2,Creme,spotify:track:3DR7shAbkNyqgZjYnHZLh2,0.275,0.857,0.477,7.58e-05,0.14,-8.547,0.21,92.049,0.589,52
38,Dua Lipa,Thats What They All Say,9,2InNHqO69Nu6lH8169ncxR,Same Guy (feat. Adam Levine),spotify:track:2InNHqO69Nu6lH8169ncxR,0.184,0.797,0.573,0.0,0.104,-6.329,0.101,93.539,0.653,49
39,Dua Lipa,Thats What They All Say,10,5faz5WYRJdRDiCa42DSgHR,Route 66 (feat. EST Gee),spotify:track:5faz5WYRJdRDiCa42DSgHR,0.038,0.914,0.463,0.0,0.0833,-10.187,0.174,144.039,0.532,59
40,Dua Lipa,Thats What They All Say,11,3w1WjD2zJqjBjDz5fwqQPJ,Tyler Herro,spotify:track:3w1WjD2zJqjBjDz5fwqQPJ,0.0872,0.792,0.793,0.0,0.22,-6.185,0.0841,123.031,0.775,71
41,Dua Lipa,Thats What They All Say,12,0LcsvJQSFIQo3RjNhPcYqT,Luv Is Dro (feat. Static Major & Bryson Tiller),spotify:track:0LcsvJQSFIQo3RjNhPcYqT,0.0335,0.727,0.513,0.0,0.302,-8.823,0.0524,76.211,0.568,63
42,Dua Lipa,Thats What They All Say,13,6MmqHc3V7NlOyPmHPVfHLo,Whats Poppin,spotify:track:6MmqHc3V7NlOyPmHPVfHLo,0.016,0.923,0.602,0.0,0.271,-6.671,0.244,145.07,0.821,44
43,Dua Lipa,Thats What They All Say,14,0Gvl1luZaeTgCbVSI2z23D,Baxter Avenue,spotify:track:0Gvl1luZaeTgCbVSI2z23D,0.15,0.7,0.676,0.0,0.106,-8.74,0.372,92.597,0.684,43
44,Dua Lipa,Thats What They All Say,15,0ZLuW8uOXdFNWcI40C0OC2,"Whats Poppin (feat. DaBaby, Tory Lanez & Lil Wayne) [Remix] - Bonus Track",spotify:track:0ZLuW8uOXdFNWcI40C0OC2,0.0631,0.904,0.723,0.0,0.185,-5.224,0.26,145.013,0.835,65
60,Dua Lipa,Sweet Action,1,1jaTQ3nqY3oAAYyCTbIvnM,WHATS POPPIN,spotify:track:1jaTQ3nqY3oAAYyCTbIvnM,0.017,0.923,0.604,0.0,0.272,-6.671,0.245,145.062,0.826,73
61,Dua Lipa,Sweet Action,2,0qoxr5PUFbDqGLHIpEnWAr,2STYLISH,spotify:track:0qoxr5PUFbDqGLHIpEnWAr,0.0116,0.945,0.638,0.0,0.0894,-7.662,0.0774,100.011,0.441,50
62,Dua Lipa,Sweet Action,3,2aWVaW1p2kUc5yuKwBmRJi,I WANNA SEE SOME ASS (feat. jetsonmade),spotify:track:2aWVaW1p2kUc5yuKwBmRJi,0.18,0.899,0.691,0.000451,0.135,-7.554,0.0497,107.951,0.865,69
63,Dua Lipa,Sweet Action,4,5xAR2kje4pVMHz0ipvp2VA,SMELLS LIKE INCENSE,spotify:track:5xAR2kje4pVMHz0ipvp2VA,0.0167,0.952,0.547,0.0,0.0852,-5.533,0.0591,100.033,0.31,50
64,Dua Lipa,Sweet Action,5,6ukXwaLZoMjeqA98ZdKLtq,OUT FRONT,spotify:track:6ukXwaLZoMjeqA98ZdKLtq,0.0904,0.896,0.483,0.000218,0.0889,-9.794,0.0663,103.0,0.51,48
65,Dua Lipa,Sweet Action,6,3FWIAl04a9ySFhk4HH15ov,HEY BIG HEAD,spotify:track:3FWIAl04a9ySFhk4HH15ov,0.0376,0.846,0.554,0.00245,0.102,-5.856,0.0991,163.887,0.611,50
