,artist,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
16,Ed Sheeran,= (Edition Française),17,7b83mbbw9MWXzUbyIOzLCL,Call On Me (feat. Ed Sheeran),spotify:track:7b83mbbw9MWXzUbyIOzLCL,0.106,0.617,0.655,0.0,0.102,-3.24,0.0616,81.009,0.633,23
17,Ed Sheeran,= (Edition Française),18,3gmkly1uUq105VKnJZyp1n,Bam Bam (feat.Ed Sheeran),spotify:track:3gmkly1uUq105VKnJZyp1n,0.182,0.756,0.697,0.0,0.333,-6.377,0.0401,94.996,0.956,17
296,Ed Sheeran,= (Tour Edition),15,5hyNzOLHCyYjvrIVIIVIWI,Afterglow,spotify:track:5hyNzOLHCyYjvrIVIIVIWI,0.698,0.641,0.324,0.0,0.328,-5.851,0.0299,110.184,0.273,54
297,Ed Sheeran,= (Tour Edition),16,5DXKvETa1xppOmd4CDxs9S,One Life,spotify:track:5DXKvETa1xppOmd4CDxs9S,0.114,0.573,0.593,2.65e-06,0.122,-7.225,0.0299,159.978,0.425,63
298,Ed Sheeran,= (Tour Edition),17,2kvwspbTT9ZyQNAv9OVYjq,Penguins,spotify:track:2kvwspbTT9ZyQNAv9OVYjq,0.79,0.709,0.324,0.0,0.1,-10.975,0.0444,99.906,0.47,42
299,Ed Sheeran,= (Tour Edition),18,4yVsZALRYQ2cBJCViCTTp0,I Will Remember You,spotify:track:4yVsZALRYQ2cBJCViCTTp0,0.404,0.743,0.807,5.49e-06,0.0723,-5.917,0.0538,145.01,0.721,43
300,Ed Sheeran,= (Tour Edition),19,6GqJ3mte0bfx6cIrWlVDW6,Welcome To The World,spotify:track:6GqJ3mte0bfx6cIrWlVDW6,0.818,0.334,0.307,5.55e-05,0.362,-8.522,0.033,169.53,0.426,39
301,Ed Sheeran,= (Tour Edition),20,2dk3qSc7779ecP8w6rNoT9,The Joker And The Queen (feat. Taylor Swift),spotify:track:2dk3qSc7779ecP8w6rNoT9,0.924,0.528,0.309,2.1e-06,0.282,-7.398,0.0329,133.83,0.307,53
303,Ed Sheeran,= (Tour Edition),22,5L9Ptz7hUfTavjjdRRiNXR,Bad Habits (feat. Bring Me The Horizon),spotify:track:5L9Ptz7hUfTavjjdRRiNXR,0.0305,0.59,0.849,0.0,0.11,-4.691,0.0792,131.018,0.178,48
304,Ed Sheeran,= (Tour Edition),23,1PvSHEmS4wNXTft6I0ugOZ,Peru,spotify:track:1PvSHEmS4wNXTft6I0ugOZ,0.572,0.956,0.417,0.00071,0.0782,-7.892,0.0926,108.015,0.714,32
318,Ed Sheeran,2step (The Remixes),1,1qqSQhDwPXl8WY0Fxx9kIt,2step (feat. Lil Baby),spotify:track:1qqSQhDwPXl8WY0Fxx9kIt,0.138,0.693,0.643,0.0,0.108,-5.867,0.0828,95.055,0.477,59
319,Ed Sheeran,2step (The Remixes),2,4EDm3svAC8LREh5b6fHZzt,2step (feat. Ultimo),spotify:track:4EDm3svAC8LREh5b6fHZzt,0.16,0.727,0.69,0.0,0.137,-5.063,0.0721,94.935,0.685,53
320,Ed Sheeran,2step (The Remixes),3,0uW73walIcF9UfA2G5ZfpF,2step (feat. Potter Payper),spotify:track:0uW73walIcF9UfA2G5ZfpF,0.14,0.726,0.671,0.0,0.139,-5.402,0.161,95.053,0.552,38
321,Ed Sheeran,2step (The Remixes),4,0EgNmGWjnYm3FMyaOW5xsM,2step (feat. Antytila),spotify:track:0EgNmGWjnYm3FMyaOW5xsM,0.235,0.506,0.695,0.0,0.151,-5.185,0.105,93.75,0.599,43
