,artist,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,SZA,SOS,1,5xMw6qCcpd2gBXPGTegC4W,SOS,spotify:track:5xMw6qCcpd2gBXPGTegC4W,0.669,0.507,0.657,6.97e-06,0.0947,-7.356,0.233,119.159,0.506,76
1,SZA,SOS,2,3OHfY25tqY28d16oZczHc8,Kill Bill,spotify:track:3OHfY25tqY28d16oZczHc8,0.0543,0.644,0.728,0.169,0.161,-5.75,0.0351,88.993,0.43,92
2,SZA,SOS,3,6eT2V7nKXyMf47TwPbtgAD,Seek & Destroy,spotify:track:6eT2V7nKXyMf47TwPbtgAD,0.437,0.651,0.647,0.175,0.205,-5.415,0.0654,152.069,0.345,78
3,SZA,SOS,4,2GAhgAjOhEmItWLfgisyOn,Low,spotify:track:2GAhgAjOhEmItWLfgisyOn,0.425,0.698,0.546,0.00314,0.16,-7.234,0.0559,145.044,0.335,86
4,SZA,SOS,5,1eIXYZWEfJO3Na2LCCnIJE,Love Language,spotify:track:1eIXYZWEfJO3Na2LCCnIJE,0.853,0.707,0.261,0.0,0.127,-10.139,0.0784,65.038,0.545,79
5,SZA,SOS,6,2CSRrnOEELmhpq8iaAi9cd,Blind,spotify:track:2CSRrnOEELmhpq8iaAi9cd,0.911,0.461,0.279,0.0,0.205,-11.776,0.0373,114.225,0.599,82
6,SZA,SOS,7,1TweDM3JC49LNeelLVg3yX,Used (feat. Don Toliver),spotify:track:1TweDM3JC49LNeelLVg3yX,0.532,0.734,0.689,8.47e-05,0.322,-6.454,0.0871,149.579,0.705,77
7,SZA,SOS,8,4iZ4pt7kvcaH6Yo8UoZ4s2,Snooze,spotify:track:4iZ4pt7kvcaH6Yo8UoZ4s2,0.141,0.559,0.551,0.0,0.11,-7.231,0.132,143.008,0.392,88
8,SZA,SOS,9,4fnNBPN9W6AoOYSQS3FJxT,Notice Me,spotify:track:4fnNBPN9W6AoOYSQS3FJxT,0.275,0.724,0.68,9.91e-05,0.11,-6.822,0.117,159.919,0.777,75
9,SZA,SOS,10,2Sjx8DWZO5zaTyTAmgo2gY,Gone Girl,spotify:track:2Sjx8DWZO5zaTyTAmgo2gY,0.57,0.428,0.439,0.0,0.153,-7.674,0.0591,150.007,0.418,76
10,SZA,SOS,11,4jTs7ny5eSRnKTzxdrFv5I,Smoking on my Ex Pack,spotify:track:4jTs7ny5eSRnKTzxdrFv5I,0.241,0.466,0.676,0.00318,0.224,-8.097,0.38,81.227,0.333,74
11,SZA,SOS,12,4h5x3XHLVYFJaItKuO2rhy,Ghost in the Machine (feat. Phoebe Bridgers),spotify:track:4h5x3XHLVYFJaItKuO2rhy,0.837,0.624,0.433,0.0294,0.113,-9.572,0.0467,124.979,0.589,80
12,SZA,SOS,13,2e2AXpIiJpet5b4qg85Gh6,F2F,spotify:track:2e2AXpIiJpet5b4qg85Gh6,0.089,0.533,0.74,2.95e-06,0.337,-5.767,0.0359,89.934,0.465,75
13,SZA,SOS,14,5Y35SjAfXjjG0sFQ3KOxmm,Nobody Gets Me,spotify:track:5Y35SjAfXjjG0sFQ3KOxmm,0.805,0.358,0.284,0.0,0.183,-8.285,0.0285,99.796,0.276,86
14,SZA,SOS,15,4hTej08FutmriOs7S1hWWy,Conceited,spotify:track:4hTej08FutmriOs7S1hWWy,0.0486,0.791,0.458,4.08e-05,0.106,-8.236,0.0673,150.046,0.772,74
15,SZA,SOS,16,6RQ5IwG7uADz9LDWliJGjU,Special,spotify:track:6RQ5IwG7uADz9LDWliJGjU,0.777,0.604,0.199,0.0,0.109,-11.831,0.05,76.134,0.191,77
16,SZA,SOS,17,4rAg5bbrdZX00mXXhLvYXj,Too Late,spotify:track:4rAg5bbrdZX00mXXhLvYXj,0.781,0.445,0.681,0.000789,0.386,-7.558,0.0829,127.541,0.351,73
17,SZA,SOS,18,74NI58MQexwZjNu1Gu6GjT,Far,spotify:track:74NI58MQexwZjNu1Gu6GjT,0.672,0.612,0.549,0.000203,0.163,-7.401,0.0833,115.915,0.477,74
18,SZA,SOS,19,2wSTnntOPRi7aQneobFtU4,Shirt,spotify:track:2wSTnntOPRi7aQneobFtU4,0.228,0.848,0.512,0.00232,0.0879,-7.72,0.102,120.009,0.572,82
19,SZA,SOS,20,0xaFw2zDYf1rIJWl2dXiSF,Open Arms (feat. Travis Scott),spotify:track:0xaFw2zDYf1rIJWl2dXiSF,0.763,0.665,0.59,0.0132,0.147,-7.608,0.161,77.559,0.216,78
20,SZA,SOS,21,2aJnyNu4PQxQ2lyj5boiMG,I Hate U,spotify:track:2aJnyNu4PQxQ2lyj5boiMG,0.514,0.533,0.417,0.0,0.114,-8.665,0.148,106.534,0.376,76
21,SZA,SOS,22,4PMqSO5qyjpvzhlLI5GnID,Good Days,spotify:track:4PMqSO5qyjpvzhlLI5GnID,0.418,0.461,0.651,1.26e-05,0.782,-8.81,0.0568,121.07,0.383,77
22,SZA,SOS,23,5IcP1PPnleZ2kuwKDyfNC5,Forgiveless (feat. Ol' Dirty Bastard),spotify:track:5IcP1PPnleZ2kuwKDyfNC5,0.366,0.668,0.769,0.0,0.0861,-5.25,0.218,79.852,0.469,71
60,SZA,Ctrl (Deluxe),15,3fcX3E9l1gVnfKeWaEzHHv,Love Galore (Alt Version),spotify:track:3fcX3E9l1gVnfKeWaEzHHv,0.0743,0.827,0.439,0.0,0.106,-10.278,0.0784,134.961,0.463,61
61,SZA,Ctrl (Deluxe),16,3vZGtceCbJVh5aDT4XhE0p,2AM,spotify:track:3vZGtceCbJVh5aDT4XhE0p,0.438,0.504,0.267,0.0,0.141,-13.678,0.406,83.966,0.392,66
62,SZA,Ctrl (Deluxe),17,4pHy0gmjfpD0Fgond5c4Ta,Miles,spotify:track:4pHy0gmjfpD0Fgond5c4Ta,0.965,0.64,0.356,0.000214,0.109,-11.563,0.0612,122.531,0.574,65
63,SZA,Ctrl (Deluxe),18,4UJuFZ4btsiGqMyFHBRPbo,Percolator,spotify:track:4UJuFZ4btsiGqMyFHBRPbo,0.0102,0.946,0.47,0.413,0.0865,-9.913,0.129,120.034,0.423,61
64,SZA,Ctrl (Deluxe),19,7newfXclX39UwWTw2gDswM,Tread Carefully,spotify:track:7newfXclX39UwWTw2gDswM,0.115,0.505,0.249,0.0,0.155,-14.879,0.139,115.815,0.207,62
65,SZA,Ctrl (Deluxe),20,2xZ0zfuDTv5LxLhEgD82PG,Awkward,spotify:track:2xZ0zfuDTv5LxLhEgD82PG,0.182,0.618,0.474,0.000122,0.108,-12.097,0.0789,119.999,0.397,76
66,SZA,Ctrl (Deluxe),21,1w52s8ZgbSHjwjoZ1zQMET,Jodie,spotify:track:1w52s8ZgbSHjwjoZ1zQMET,0.804,0.81,0.402,2.14e-06,0.107,-10.878,0.0537,90.433,0.54,57
67,SZA,Dear Evan Hansen (Original Motion Picture Soundtrack),1,0Grpt3Up0Kaj7PljmT7inL,Waving Through A Window - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,spotify:track:0Grpt3Up0Kaj7PljmT7inL,0.244,0.499,0.731,0.0,0.0938,-6.452,0.0525,145.001,0.463,46
68,SZA,Dear Evan Hansen (Original Motion Picture Soundtrack),2,4F0FjRSJxEhEg2O2X7xAik,For Forever - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,spotify:track:4F0FjRSJxEhEg2O2X7xAik,0.332,0.357,0.339,1.01e-05,0.0936,-8.854,0.048,91.602,0.211,42
69,SZA,Dear Evan Hansen (Original Motion Picture Soundtrack),3,7Fuj7RyGJYSJ7HgO5E2tJv,Sincerely Me - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,spotify:track:7Fuj7RyGJYSJ7HgO5E2tJv,0.00797,0.631,0.703,0.0,0.161,-5.799,0.0927,97.984,0.572,42
70,SZA,Dear Evan Hansen (Original Motion Picture Soundtrack),4,2hp0ZBtEDA2Wn3C1fvJSf9,Requiem - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,spotify:track:2hp0ZBtEDA2Wn3C1fvJSf9,0.554,0.337,0.373,0.0,0.0796,-7.996,0.0331,82.093,0.254,41
71,SZA,Dear Evan Hansen (Original Motion Picture Soundtrack),5,7bKq8MLzpWlaO1RXPkEm95,If I Could Tell Her - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,spotify:track:7bKq8MLzpWlaO1RXPkEm95,0.587,0.533,0.301,0.0,0.0972,-10.239,0.0426,96.194,0.528,40
72,SZA,Dear Evan Hansen (Original Motion Picture Soundtrack),6,1ouS2oUJOnxH9TaQxpNpUO,The Anonymous Ones - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,spotify:track:1ouS2oUJOnxH9TaQxpNpUO,0.463,0.513,0.332,1.03e-05,0.109,-9.51,0.0714,103.839,0.182,42
73,SZA,Dear Evan Hansen (Original Motion Picture Soundtrack),7,3AYMFpcQeHCjnTAb8XKeVu,You Will Be Found - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,spotify:track:3AYMFpcQeHCjnTAb8XKeVu,0.0612,0.261,0.533,0.0,0.0962,-7.688,0.0512,78.247,0.224,41
74,SZA,Dear Evan Hansen (Original Motion Picture Soundtrack),8,34IKm7af3AY1m36bnlNH5k,Only Us - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,spotify:track:34IKm7af3AY1m36bnlNH5k,0.71,0.358,0.339,0.0,0.094,-8.387,0.0326,136.79,0.333,41
75,SZA,Dear Evan Hansen (Original Motion Picture Soundtrack),9,6oKvPUNfMLB8tPCZxQztGR,Words Fail - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,spotify:track:6oKvPUNfMLB8tPCZxQztGR,0.873,0.388,0.172,0.0,0.0943,-10.779,0.0429,109.07,0.256,37
76,SZA,Dear Evan Hansen (Original Motion Picture Soundtrack),10,1MdFRRORSskeNMHJsYv9cu,So Big / So Small - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,spotify:track:1MdFRRORSskeNMHJsYv9cu,0.795,0.408,0.124,2.7e-05,0.116,-14.495,0.0458,90.884,0.257,35
77,SZA,Dear Evan Hansen (Original Motion Picture Soundtrack),11,5V0BIjKnVh2acWHuf5evww,A Little Closer - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,spotify:track:5V0BIjKnVh2acWHuf5evww,0.81,0.296,0.183,0.00165,0.105,-14.855,0.0393,81.32,0.217,40
78,SZA,Dear Evan Hansen (Original Motion Picture Soundtrack),12,6i14jVQ6cq2BxYWlYYgzyD,You Will Be Found (Sam Smith & Summer Walker Version) - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,spotify:track:6i14jVQ6cq2BxYWlYYgzyD,0.477,0.397,0.413,0.0,0.0835,-7.701,0.0342,77.864,0.492,39
79,SZA,Dear Evan Hansen (Original Motion Picture Soundtrack),13,1UiIBbs0Pl8rAtz294SZoR,The Anonymous Ones (SZA Version) - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,spotify:track:1UiIBbs0Pl8rAtz294SZoR,0.316,0.663,0.458,4.4e-06,0.114,-8.419,0.036,99.971,0.217,40
80,SZA,Dear Evan Hansen (Original Motion Picture Soundtrack),14,4SaukjSrlHLaSwZ5K6OHhe,Only Us (Carrie Underwood & Dan + Shay Version) - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,spotify:track:4SaukjSrlHLaSwZ5K6OHhe,0.722,0.365,0.401,0.0,0.0952,-7.331,0.0303,138.365,0.3,35
81,SZA,Dear Evan Hansen (Original Motion Picture Soundtrack),15,3tcquFqOHmSIDmhW4rH2Pn,A Little Closer (FINNEAS Version) - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,spotify:track:3tcquFqOHmSIDmhW4rH2Pn,0.932,0.373,0.144,4.51e-05,0.0924,-17.085,0.0372,140.384,0.157,42
82,SZA,Dear Evan Hansen (Original Motion Picture Soundtrack),16,1oTJvM9gyW1uY7Bb0tOZyk,Waving Through A Window (Tori Kelly Version) - From The “Dear Evan Hansen” Original Motion Picture Soundtrack,spotify:track:1oTJvM9gyW1uY7Bb0tOZyk,0.274,0.708,0.426,0.0,0.0982,-7.909,0.057,130.025,0.536,38
83,SZA,Black Panther The Album Music From And Inspired By,1,5qN4HFkapdAOV94XPryVof,Black Panther,spotify:track:5qN4HFkapdAOV94XPryVof,0.625,0.618,0.582,3.84e-06,0.265,-9.454,0.297,90.035,0.48,52
84,SZA,Black Panther The Album Music From And Inspired By,2,3GCdLUSnKSMJhs4Tj6CV3s,All The Stars (with SZA),spotify:track:3GCdLUSnKSMJhs4Tj6CV3s,0.0605,0.698,0.633,0.000194,0.0926,-4.946,0.0597,96.924,0.552,82
85,SZA,Black Panther The Album Music From And Inspired By,3,4LmAnpjlhWTahvRkYR8xJa,X (with 2 Chainz & Saudi),spotify:track:4LmAnpjlhWTahvRkYR8xJa,0.0201,0.768,0.471,0.0,0.268,-8.406,0.259,131.023,0.405,62
86,SZA,Black Panther The Album Music From And Inspired By,4,5jyyPsIGM2yqkZN9R3TmvN,The Ways (with Swae Lee),spotify:track:5jyyPsIGM2yqkZN9R3TmvN,0.0626,0.727,0.72,1.21e-06,0.176,-5.856,0.0488,140.08,0.589,59
87,SZA,Black Panther The Album Music From And Inspired By,5,7bUcBztfGqO7cSI2gMZeCI,Opps (with Yugen Blakrok),spotify:track:7bUcBztfGqO7cSI2gMZeCI,0.152,0.706,0.775,3.32e-05,0.416,-6.819,0.335,127.929,0.847,53
88,SZA,Black Panther The Album Music From And Inspired By,6,0DJBgBiYeSn6n1AXAkFVE8,I Am,spotify:track:0DJBgBiYeSn6n1AXAkFVE8,0.144,0.601,0.583,9.73e-05,0.183,-5.725,0.263,148.785,0.32,56
89,SZA,Black Panther The Album Music From And Inspired By,7,2tPcTFiQF9MbVUyjZ3zDhA,Paramedic!,spotify:track:2tPcTFiQF9MbVUyjZ3zDhA,0.177,0.856,0.652,0.0,0.193,-5.324,0.143,97.017,0.471,61
90,SZA,Black Panther The Album Music From And Inspired By,8,4KXwFI9pgJLpUIAc9oSL8j,Bloody Waters (with Anderson .Paak & James Blake),spotify:track:4KXwFI9pgJLpUIAc9oSL8j,0.185,0.507,0.606,0.0,0.174,-8.758,0.452,180.607,0.202,52
