,artist,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
13,Taylor Swift,Midnights (3am Edition),14,3UMrglJeju5yWyYIW6o99b,The Great War,spotify:track:3UMrglJeju5yWyYIW6o99b,0.219,0.573,0.741,2.23e-05,0.0842,-8.987,0.0353,96.016,0.554,77
14,Taylor Swift,Midnights (3am Edition),15,0BiqmkasE5FdrChwKfVp8X,Bigger Than The Whole Sky,spotify:track:0BiqmkasE5FdrChwKfVp8X,0.826,0.422,0.235,0.00648,0.115,-12.379,0.0568,165.71,0.068,74
15,Taylor Swift,Midnights (3am Edition),16,7712gjoih4QoDbXpljEk21,Paris,spotify:track:7712gjoih4QoDbXpljEk21,0.112,0.7,0.509,3.27e-05,0.137,-10.547,0.0789,110.947,0.345,74
16,Taylor Swift,Midnights (3am Edition),17,5kiZGSxgqPdv6rbqL9THdd,High Infidelity,spotify:track:5kiZGSxgqPdv6rbqL9THdd,0.723,0.646,0.529,0.0,0.0885,-10.179,0.0864,87.862,0.755,72
17,Taylor Swift,Midnights (3am Edition),18,6wAFvJPpTZVirBKGZ4EnMW,Glitch,spotify:track:6wAFvJPpTZVirBKGZ4EnMW,0.361,0.675,0.466,0.0,0.11,-9.738,0.201,140.864,0.347,70
18,Taylor Swift,Midnights (3am Edition),19,0aV5uARAknQgYhBaK944FP,"Would've, Could've, Should've",spotify:track:0aV5uARAknQgYhBaK944FP,0.43,0.483,0.84,0.000575,0.146,-6.508,0.119,157.979,0.55,76
19,Taylor Swift,Midnights (3am Edition),20,3QF5RsWzK1lCvf2o2cY65P,Dear Reader,spotify:track:3QF5RsWzK1lCvf2o2cY65P,0.481,0.562,0.388,0.00145,0.117,-12.088,0.0705,107.747,0.159,71
40,Taylor Swift,Midnights,1,5jQI2r1RdgtuT8S3iG8zFC,Lavender Haze,spotify:track:5jQI2r1RdgtuT8S3iG8zFC,0.258,0.733,0.436,0.000573,0.157,-10.489,0.08,96.985,0.0976,85
41,Taylor Swift,Midnights,2,3eX0NZfLtGzoLUxPNvRfqm,Maroon,spotify:track:3eX0NZfLtGzoLUxPNvRfqm,0.0573,0.637,0.398,1.03e-06,0.101,-8.294,0.0564,108.075,0.0374,78
42,Taylor Swift,Midnights,3,0V3wPSX9ygBnCm8psDIegu,Anti-Hero,spotify:track:0V3wPSX9ygBnCm8psDIegu,0.13,0.637,0.643,1.8e-06,0.142,-6.571,0.0519,97.008,0.533,91
43,Taylor Swift,Midnights,4,1wtOxkiel43cVs0Yux5Q4h,Snow On The Beach (feat. Lana Del Rey),spotify:track:1wtOxkiel43cVs0Yux5Q4h,0.69,0.663,0.319,0.000993,0.117,-13.481,0.0375,109.957,0.193,79
