,artist,album,track_number,id,name,uri,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity
0,The Weeknd,HEROES & VILLAINS (Villains Version),1,4Ty96Lv1XJV1aVesL9Mp56,On Time (with John Legend) - ChoppedNotSlopped,spotify:track:4Ty96Lv1XJV1aVesL9Mp56,0.815,0.446,0.82,4.63e-05,0.424,-7.965,0.851,131.562,0.305,54
1,The Weeknd,HEROES & VILLAINS (Villains Version),2,2fBs3IClRp1Gs0EzvlQNYs,Superhero (Heroes & Villains) [with Future & Chris Brown] - ChoppedNotSlopped,spotify:track:2fBs3IClRp1Gs0EzvlQNYs,0.247,0.683,0.457,0.000129,0.176,-6.091,0.16,95.144,0.215,55
2,The Weeknd,HEROES & VILLAINS (Villains Version),3,3zuI7VvcXEV9nEZwqjODrR,Raindrops (Insane) [with Travis Scott] - ChoppedNotSlopped,spotify:track:3zuI7VvcXEV9nEZwqjODrR,0.299,0.783,0.738,0.000416,0.304,-6.816,0.0975,91.262,0.445,52
3,The Weeknd,HEROES & VILLAINS (Villains Version),4,3mKejmULpQc1vJc8e1X1Rn,Umbrella (with 21 Savage & Young Nudy) - ChoppedNotSlopped,spotify:track:3mKejmULpQc1vJc8e1X1Rn,0.199,0.568,0.767,0.0452,0.432,-5.418,0.427,182.938,0.475,48
4,The Weeknd,HEROES & VILLAINS (Villains Version),5,3rHTq3wxlaT6bawxl6eSVu,All The Money (with Gunna) - Bonus - ChoppedNotSlopped,spotify:track:3rHTq3wxlaT6bawxl6eSVu,0.234,0.765,0.531,0.0063,0.357,-7.379,0.217,91.604,0.22,46
5,The Weeknd,HEROES & VILLAINS (Villains Version),6,7eHt2ylQpiTpj7kBk8I3RK,Around Me (feat. Don Toliver) - ChoppedNotSlopped,spotify:track:7eHt2ylQpiTpj7kBk8I3RK,0.0733,0.654,0.719,0.016,0.786,-5.846,0.0814,98.013,0.0795,52
6,The Weeknd,HEROES & VILLAINS (Villains Version),7,02AZlWAyxBtM76OW3EAmwQ,Metro Spider (with Young Thug) - ChoppedNotSlopped,spotify:track:02AZlWAyxBtM76OW3EAmwQ,0.0664,0.793,0.59,2.75e-05,0.71,-5.581,0.092,117.007,0.0552,48
7,The Weeknd,HEROES & VILLAINS (Villains Version),8,6f1wqJigpbe3oSjuNh3dJ1,I Can't Save You (Interlude) [with Future & feat. Don Toliver] - ChoppedNotSlopped,spotify:track:6f1wqJigpbe3oSjuNh3dJ1,0.0565,0.715,0.567,2.76e-06,0.208,-6.751,0.0631,117.014,0.0596,48
8,The Weeknd,HEROES & VILLAINS (Villains Version),9,7ANiZQ38jCDHYg5CYjVwvj,Walk Em Down (Don't Kill Civilians) [with 21 Savage & feat. Mustafa] - ChoppedNotSlopped,spotify:track:7ANiZQ38jCDHYg5CYjVwvj,0.0735,0.637,0.476,0.000743,0.335,-7.219,0.375,132.24,0.0984,46
9,The Weeknd,HEROES & VILLAINS (Villains Version),10,1fnnroMusEsQhsjt0kfohs,Too Many Nights (feat. Don Toliver & with Future) - ChoppedNotSlopped,spotify:track:1fnnroMusEsQhsjt0kfohs,0.267,0.7,0.712,7.66e-05,0.216,-5.798,0.123,143.939,0.376,51
10,The Weeknd,HEROES & VILLAINS (Villains Version),11,2Doqhmcb4WoUS0gqRyOaN8,Trance (with Travis Scott & Young Thug) - ChoppedNotSlopped,spotify:track:2Doqhmcb4WoUS0gqRyOaN8,0.28,0.542,0.596,2.45e-05,0.131,-6.375,0.327,143.903,0.384,48
11,The Weeknd,HEROES & VILLAINS (Villains Version),12,31N71Nqv05Kt7hoiuicREI,Feel The Fiyaaaah (with A$AP Rocky & feat. Takeoff) - ChoppedNotSlopped,spotify:track:31N71Nqv05Kt7hoiuicREI,0.0604,0.601,0.72,0.0,0.217,-6.046,0.103,143.872,0.266,45
12,The Weeknd,HEROES & VILLAINS (Villains Version),13,7AJ56PvOGNavqK0HouT2al,Niagara Falls (Foot or 2) [with Travis Scott & 21 Savage] - ChoppedNotSlopped,spotify:track:7AJ56PvOGNavqK0HouT2al,0.253,0.749,0.536,0.00354,0.214,-7.379,0.271,142.919,0.321,46
